"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,3.02,0,270.4,0,0.02,0,8.48,0,0,0,0,0,0,0,0,0
1979,1,1,3,2451.83,0,182.81,0,19.61,0,5.74,0,0,0,0,0,0,0,0,0
1979,1,1,4,3437.9,0,4.86,0,27.5,0,0.15,0,0,0,0,0,0,0,0,0
1979,1,1,5,691.86,0,0.35,0,5.53,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,86.15,0,0,0,5.74,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,52.04,0,0,0,3.47,0,0,0,0,0,0,0,0,0
1979,1,4,4,8.15,0,5.47,0,0.14,0,0.36,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0.29,0,0,0,0.02,0,0,0,0,0,0,0,0,0
1979,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,2.76,0,128.35,0,0.02,0,4.03,0,0,0,0,0,0,0,0,0
1979,2,1,3,213.6,0,57.51,0,1.71,0,1.8,0,0,0,0,0,0,0,0,0
1979,2,1,4,1742.07,0,1.64,0,13.94,0,0.05,0,0,0,0,0,0,0,0,0
1979,2,1,5,887.35,0,0.18,0,7.1,0,0.01,0,0,0,0,0,0,0,0,0
1979,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
